ETUNIMI;YHTEENSÄ
Margarita;115
Annu;115
Joy;114
Francesca;114
Bianca;114
Stephanie;113
Isadora;113
Malin;113
Myy;113
Märta;113
Pirkko-Liisa;112
Elissa;112
Miisa;111
Anh;111
Lilly;111
Abdulkadir;111
Adriana;111
Pirkitta;111
Inga-Britt;110
Lyyti;110
Malena;110
Aniita;110
Annabel;110
Lisette;110
Kristel;109
Marilla;109
Rosalie;109
Emeliina;108
Samira;108
Ulpu;108
Raila;108
Eleanora;108
Heloisa;108
Aletta;108
Lee;108
Mari-Ann;108
Kirsi-Marja;108
Mahamed;107
Maari;107
Cornelia;106
Mareena;106
Li;106
Yusuf;106
Selja;106
Katrine;105
Eden;105
Eevastiina;105
Ria;105
Ann-Louise;105
Mohammed;104
Adessa;104
Kiira;104
Charlott;104
Thanh;104
Marija;103
Bea;103
Eufrosyne;103
Majlis;103
Emiilia;103
Liinu;102
Eelin;102
Ofelia;102
Usva;101
Merike;101
Heikintytär;101
Vivi;100
Albertina;100
Dorotea;100
Jemiina;100
Pipsa;100
Kaur;100
Maja;99
Julie;99
Clarissa;99
Pepita;99
Saskia;99
Marju;98
Hanna-Leena;98
Meri-Tuulia;98
Mirkka;98
Alvina;98
Fredriikka;97
Aurinko;97
Carin;97
Mei;97
Marlena;97
Seela;96
Sabine;96
Katherine;96
Xenia;96
Suvi-Tuuli;96
Jadessa;96
Marguerite;95
Siina;95
Ristiina;95
Eva-Maria;94
Lumikukka;94
Jatta;94
Katjaana;94
Lynn;94
Marjaleena;94
Phuong;94
Alfhild;94
Hildur;94
Celina;93
Eve;93
Naomi;92
Peppina;92
Lyylikki;92
Melisa;92
Emerentia;92
Elmi;91
Ainamo;91
Hjördis;91
Moonika;91
Nicolina;90
Judit;90
Mariita;90
Luisa;90
Selene;90
Akuliina;89
Ngoc;89
Evi;89
Selinda;89
Ottiilia;89
Jarintytär;89
Raita;88
Siv;88
Rosina;87
Merika;87
Unnukka;87
Hannuntytär;87
Vilmiina;86
Meimi;86
Evelia;86
Nur;86
Toivikki;86
Amina;86
Alida;86
Marlen;85
Linea;85
Jekaterina;85
Gerda;85
Marjanna;85
Margitta;85
Margot;85
Ilana;85
Mainikki;85
Eugenia;84
Sulevi;84
Maili;84
Clara;84
Tara;84
Rianna;84
Aino-Maria;84
Alexa;83
Aline;83
Annastina;83
Marielle;83
Estrid;83
Emilja;83
Hilppa;83
Annelie;83
Pirketta;83
Karintytär;83
Maj-Len;83
Leeni;82
Jasmiini;82
Rafaela;82
Margareth;82
Madelene;82
Louisa;82
Alinda;81
Laimi;81
Jukantytär;81
Annuli;81
Lillian;81
Anceliga;81
Danielle;81
Osman;80
Tekla;80
Serena;80
Mataleena;80
Anneka;80
Carolin;80
Milaja;80
Irmelin;80
Lotte;80
Mikantytär;80
Serafiia;79
Minka;79
Manuela;79
Eliisi;79
Erna;79
Amira;79
Yasmine;79
Rosa-Maria;79
Jenina;78
Lili;78
Eliise;78
Safira;78
Karen;78
Roosa-Maria;78
Vivi-Ann;78
Daniella;78
Elli-Noora;77
Anna-Kaarina;77
Klaara;77
Anne-Maarit;77
Klara;77
Suzanne;77
Gustava;77
Tyyni;77
Tuomikki;76
Tina;76
Silva;76
Anna-Lena;76
Irena;76
Elinor;75
Iitu;75
Saida;75
Ritva-Liisa;75
Betty;75
Margarethe;75
Abigail;74
Karoline;74
Helle;74
Jean;74
Elsie;74
Linh;74
Agda;74
Hannah;73
Annamaija;73
Maia;73
Britt-Mari;73
Maria-Liisa;72
Paloma;72
Cristiina;72
Vanilla;72
Amélie;72
Florence;72
Gudrun;72
Gun;72
Said;72
Angervo;72
Janet;72
Mandi;72
Adolfina;72
Farah;71
Aliisi;71
Aleksia;71
Kajsa;71
Enne;71
Henrica;71
Tessa;71
Etel;71
Tuuliina;71
Elliina;71
Mirette;70
Malla;70
Valvikki;70
Huong;70
Eija-Liisa;70
Constance;70
Aleksandrovna;70
Carla;69
Iia;69
Merete;69
Lia;69
Thao;68
Jannina;68
Agatha;68
Mari-Anna;68
Liliana;68
Adalia;68
Adeline;68
Marjaliisa;68
Mathilde;68
Marke;68
Kira;67
Anri;67
Kamomilla;67
Inge-Maj;67
Sissi;67
Caterina;67
Tinja;67
Ulpukka;67
Vanilja;67
Hong;66
Aleksantra;66
Frances;66
Auri;66
Denice;66
Pekantytär;66
Seelia;66
Trang;65
Beda;65
Justina;65
