ETUNIMI;YHTEENSÄ
Hanna-Liisa;229
Louise;229
Nadia;229
Auni;229
Britt;228
Seidi;228
Aisha;228
Edla;228
Marleena;227
Marke;227
Kaija-Liisa;226
Lilly;225
Eva-Maria;225
Fatima;224
Eliina;224
Aino-Maija;224
Ulla-Riitta;224
Evi;223
Leona;223
Minna-Maria;222
Merja-Liisa;221
Jannica;220
Auri;220
Salma;219
Melisa;219
Sanna-Maija;219
Emilie;218
Klara;218
Freja;217
Sannamari;217
Catharina;215
Sarianne;215
Elmi;214
Dina;214
Aino-Maria;213
Gunhild;212
Telma;211
Katrina;211
Lia;211
Nancy;210
Päivikki;208
Pia-Maria;208
Margita;208
Heidi-Maria;208
Klaara;208
Sigrid;207
Jadessa;207
Cassandra;207
Leni;206
Ann-Sofie;206
Janet;205
Jennika;205
Solja;205
Pieta;204
Tilde;204
May;203
Gurli;203
Sabrina;203
Sanna-Leena;203
Emmiina;202
Synnöve;201
Juliana;201
Tinka;201
Kukka;200
Kukka-Maaria;199
Angelina;199
Ruusa;199
Elli-Noora;199
Naomi;198
Minna-Mari;198
Noona;197
Wilhelmiina;197
Anne-Maija;196
Eija-Riitta;196
Bodil;195
Tia-Maria;194
Sissi;194
Isabelle;193
Catarina;193
Ann-Britt;192
Ethel;192
Sallamari;191
Piitu;190
Vivan;190
Reea;188
Liia;188
Zahra;188
Gabriella;187
Satu-Maarit;187
Gertrud;187
Angela;187
Sally;187
Alla;186
Lovisa;185
Annie;185
Adelina;184
Marissa;184
Amira;184
Marica;183
Maia;182
Magdalena;182
Kreeta;182
Carmen;182
Dagny;181
Ellinor;181
Riitta-Maija;181
Inga-Lill;181
Tekla;180
Sina;180
Ksenia;179
Annele;178
Antonia;178
Emmy;178
Ann-Sofi;177
Kaisa-Leena;176
Kiti;176
Larisa;176
Ingegerd;175
Anne-Marja;175
Molly;175
Peppiina;174
Rianna;174
Filippa;173
Nadezda;173
Mariel;173
Ani;173
Jasmi;172
Usva;172
Suvi-Tuulia;171
Kamilla;171
Valeria;170
Majlis;170
Jana;170
Juliaana;170
Tarja-Leena;169
Annamaija;169
Cindy;168
Adalmiina;168
Tiina-Liisa;168
Helle;167
Elizabeth;167
Kirsikka;167
Ljudmila;166
Ingeborg;166
Gunborg;166
Gudrun;165
Ella-Maria;165
Denise;165
Liudmila;165
Ruusu;164
Meimi;164
Evita;164
Venny;164
Tanya;163
Lotte;163
Fia;162
Eleonora;162
Daria;162
Betty;161
Hille;161
Sienna;161
Minerva;160
Klaudia;160
Katrin;160
Maryam;160
Raija-Leena;159
Margaretha;159
Nanni;159
Ann-Charlotte;156
Crista;156
Amy;156
Ranja;155
Pirjo-Leena;154
Rina;154
Marta;154
Ann-Kristin;154
Katri-Helena;153
Annaleena;153
Margot;153
Henna-Maria;152
Hedvig;152
Anni-Maria;151
Mimi;150
Hilpi;150
Gerda;149
Lisen;149
Lyyti;149
Celina;148
Rose-Marie;148
Tarja-Liisa;148
Ana;148
Iira;147
Karen;147
Clarissa;145
Tiia-Mari;145
Tindra;145
Santra;145
Nellie;145
Milma;144
Hannaleena;144
Ida-Sofia;144
Annamaria;143
Thelma;142
Tiina-Maija;142
Adeliina;141
Maria-Liisa;141
Kaisa-Maria;141
Cia;140
Hilkka-Liisa;140
Maria-Leena;140
Rose;140
Aino-Kaisa;139
Tiitu;139
Leena-Kaisa;139
Janniina;139
Mina;139
Wenla;138
Stephanie;138
Julie;138
Lucia;138
Theresa;137
Miia-Maria;137
Manta;137
Ulla-Britt;137
Martha;136
Mia-Maria;136
Catherine;136
Natasha;136
Eva-Liisa;136
Jenni-Maria;136
Ragni;136
Märtha;135
Gunnevi;135
Karola;134
Fadumo;134
Salla-Maria;134
Nina-Maria;133
Ann-Louise;133
Nia;133
Laura-Maria;133
Ragnhild;133
Marja-Sisko;132
Anna-Reetta;132
Kata;131
Elizaveta;131
Judit;131
Renja;131
Milla-Maria;131
Hanne-Mari;131
Esther;130
Fredrika;130
Iia;129
Polina;129
Sara-Sofia;129
Saara-Maria;129
Sanna-Liisa;129
Marie-Louise;129
Tania;129
Anna-Elina;128
Annabella;128
Meri-Tuulia;127
Suvi-Päivikki;126
Belinda;126
Mariana;125
Miitta;125
Dorrit;124
Marisa;124
Viia;124
Melanie;124
Seija-Liisa;124
Judith;124
Pulmu;123
Ann-Maj;122
Liv;122
Cilla;122
Carin;122
Barbara;121
Jenita;121
Lumina;121
Gun-Maj;121
Anna-Stina;120
Riikka-Liisa;120
Therese;120
Tiina-Maria;119
Nilla;119
Malena;119
Niia;118
Tiina-Mari;118
Inge;118
Anja-Riitta;118
Henna-Mari;117
Pälvi;117
Ritva-Leena;117
Yasmine;116
Marian;116
Gabriela;116
Ann-Lis;115
Eeva-Marja;115
Unelma;115
Nona;115
Cristina;115
Marikki;115
Sofianna;114
Yrsa;114
Eden;113
Adelia;113
Lioudmila;113
Ringa;113
Annikka;113
Nonna;112
Lola;112
Angelika;112
Ia;112
Selena;112
Kanerva;112
Darja;112
Anna-Kristiina;111
Yulia;111
Ghita;111
Malva;110
Daniella;110
Anna-Emilia;110
Ingela;110
Aurelia;109
Eedla;109
Dana;109
Pirre;109
Tuula-Maija;108
Oxana;108
Kristel;108
Ulla-Maria;108
Maj-Gret;108
Ngoc;108
Marjaleena;108
Linda-Maria;108
Senna;108
Merituuli;107
Saida;107
Kaisa-Liisa;107
Lauha;107
Merja-Riitta;107
Jennica;107
Kim;107
Liana;107
Suvi-Maria;106
Talvikki;106
Terese;106
Nitta;106
Iida-Sofia;106
Odessa;106
Kitty;106
Runa;105
Dora;105
Lillemor;105
Satu-Maria;105
Adessa;105
Evgenia;105
Enja;105
Annaliisa;105
Sivi;105
Katharina;104
Natalja;104
Monna;104
Beda;104
Ulla-Mari;103
Peggy;103
Majvor;103
Raini;103
Vanamo;102
Lyydi;102
Nicola;102
Mirja-Leena;101
Evelyn;101
Eleonoora;101
Linne;101
Rachel;101
Oksana;101
Minnea;101
Ona;100
Hellen;100
Marja-Helena;100
Gunn;100
Hedda;100
Menni;100
Oosa;99
Antonina;99
Nicolina;99
Sari-Anne;99
Janessa;99
Norma;99
Freya;99
Simone;99
